efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
SHNXV01.54EC,47938,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV01.54EC,47938,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0TDC,48189,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHNXV02.0TDC,48189,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXT03.5CCC,48055,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXT03.5CCC,48055,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXT02.0V7S,48526,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHNXT02.0V7S,48526,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXT03.5CCC,48070,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXT03.5CCC,48070,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXV01.54EC,47939,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV01.54EC,47939,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXT03.0HTC,48113,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXT03.0HTC,48113,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXV01.55DC,47940,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHNXV01.55DC,47940,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXT02.0W7S,48527,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHNXT02.0W7S,48527,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXV02.0AEC,48161,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0AEC,48161,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.0AEC,48160,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0AEC,48160,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV03.0BCC,48162,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXV03.0BCC,48162,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SCRXJ02.05P2,48004,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SCRXJ02.05P2,48004,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SCRXT02.05P1,48915,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SCRXT02.05P1,48915,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SCRXV01.35PH,48652,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SCRXV01.35PH,48652,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
